date,equity_sys,equity_qqq,qqq_weight
2005-01-04,1.0,1.0,0.0
2005-01-05,1.0,0.9938117811951798,0.0
2005-01-06,1.0,0.988911878853405,0.0
2005-01-07,1.0,0.9940702304694817,0.0
2005-01-10,1.0,0.9935539098485932,0.0
2005-01-11,0.9977343626730389,0.9865908055630396,0.5
2005-01-12,1.002265112123047,0.9948432665815262,0.5
2005-01-13,0.9980758218665333,0.9816921746622387,0.5
2005-01-14,1.0027900525875533,0.9909758898959856,0.5
2005-01-18,1.0028126950152356,0.9909758898959856,0.5
2005-01-19,0.9952682396067408,0.9745957287120538,0.5
2005-01-20,0.9862449798618232,0.9559130251205503,0.5
2005-01-21,0.9825775277611387,0.948234652485785,0.5
2005-01-24,0.9767566604935092,0.9349256568039757,0.5
2005-01-25,0.976888302622142,0.9395327492167537,0.5
2005-01-26,0.9832238956614617,0.9507939953108419,0.5
2005-01-27,0.9821247984582356,0.949514524658077,0.5
2005-01-28,0.9822333129843284,0.9449075469651637,0.5
2005-01-31,0.9893396607910132,0.9571921516137207,0.5
2005-02-01,0.9905580159831079,0.9602630876761135,0.5
2005-02-02,0.9919442147364248,0.9617993013864312,0.5
2005-02-03,0.9861572397271613,0.9507939953108419,0.5
2005-02-04,0.9975706605052597,0.9661500522611834,0.5
2005-02-07,0.9983947135244471,0.9641021879535975,0.5
2005-02-08,1.000763645792024,0.9658937680830899,0.5
2005-02-09,0.9931013028151026,0.9497702352368461,0.5
2005-02-10,0.9903103436574335,0.950793995310842,0.5
2005-02-11,0.9975053766179525,0.964870237448824,0.5
2005-02-14,1.0005579412841519,0.9692211030434411,0.5
2005-02-15,1.0026225341432937,0.9756198329456441,0.5
2005-02-16,0.9998585515878777,0.9720358696476051,0.5
2005-02-17,0.991598598678241,0.9589831007839568,0.5
2005-02-18,0.9878189679584983,0.9559130251205505,0.5
2005-02-22,0.9878438651460724,0.9559130251205505,0.5
2005-02-23,0.9893579308347761,0.9572086832197424,0.5
2005-02-24,0.995132448503228,0.9693876370512741,0.5
2005-02-25,0.9991602159489748,0.974829226842227,0.5
2005-02-28,0.9911846333748371,0.9644644266504329,0.5
2005-03-01,0.9948759978455537,0.9750887069133695,0.35
2005-03-02,0.994328039657336,0.9745704436736926,0.35
2005-03-03,0.9913294064168358,0.9665364923304443,0.35
2005-03-04,0.9966341943443172,0.9722376783429744,0.35
2005-03-07,1.0028804085505267,0.9862306696638091,0.35
2005-03-08,0.9965656034589707,0.9763839004108222,0.35
2005-03-09,0.9907013751599194,0.9735336268182527,0.35
2005-03-10,0.992088893214168,0.9722376783429743,0.35
2005-03-11,0.9867150450106282,0.9631686524008064,0.35
2005-03-14,0.9901053970532122,0.9675735995619712,0.35
2005-03-15,0.984522093083482,0.959800057493343,0.5
2005-03-16,0.980469946781227,0.948916471384916,0.5
2005-03-17,0.9825001696543453,0.9512488301891131,0.5
2005-03-18,0.9783084534221878,0.946065965491477,0.5
2005-03-21,0.9785833779174317,0.9478803514320844,0.5
2005-03-22,0.9705159512928384,0.9362197769906639,0.5
2005-03-23,0.9734505020902593,0.9395881976724754,0.5
2005-03-24,0.9741082966347868,0.9398470969914443,0.5
2005-03-28,0.9735851895244297,0.9416614829320513,0.5
2005-03-29,0.9711694619379899,0.9341467821071746,0.5
2005-03-30,0.981565932326688,0.9517674999553113,0.5
2005-03-31,0.9812246207130627,0.9476211617370286,0.5
2005-04-01,0.9771139114186422,0.938033233727793,0.5
2005-04-04,0.9805938305961506,0.9447704235427202,0.5
2005-04-05,0.9813333498946649,0.9473619139667556,0.5
2005-04-06,0.98140797150894,0.9458071242477256,0.5
2005-04-07,0.9853723458318002,0.9572086832197425,0.5
2005-04-08,0.9822586795601373,0.9494346765493753,0.5
2005-04-11,0.9814654118115993,0.9452892675345704,0.5
2005-04-12,0.9861898148852,0.9499531720899211,0.5
2005-04-13,0.9775451946176278,0.9344062041030995,0.5
2005-04-14,0.9702781286060805,0.9211900849648236,0.5
2005-04-15,0.9624610020661143,0.9002011206605275,0.5
2005-04-18,0.9624408637985521,0.900460252280366,0.5
2005-04-19,0.9681178841821932,0.9066795853821378,0.5
2005-04-20,0.9635265607791242,0.899164536105957,0.5
2005-04-21,0.9738035350832671,0.9230039482284745,0.5
2005-04-22,0.9686257280274863,0.9092705531292169,0.5
2005-04-25,0.9733699563709073,0.9167853120293109,0.5
2005-04-26,0.9684863143824551,0.9082340847250808,0.5
