fecha,NDX_close,VIX_close,VIX3M_close,IRX_close
2000-01-03,3790.550048828125,24.209999084472656,,5.269999980926514
2000-01-04,3546.199951171875,27.01000022888184,,5.269999980926514
2000-01-05,3507.31005859375,26.40999984741211,,5.269999980926514
2000-01-06,3340.81005859375,25.729999542236328,,5.239999771118164
2000-01-07,3529.60009765625,21.71999931335449,,5.21999979019165
2000-01-10,3717.409912109375,21.709999084472656,,5.230000019073486
2000-01-11,3544.35009765625,22.5,,5.269999980926514
2000-01-12,3478.139892578125,22.84000015258789,,5.28000020980835
2000-01-13,3612.080078125,21.709999084472656,,5.21999979019165
2000-01-14,3704.739990234375,19.65999984741211,,5.25
2000-01-18,3757.780029296875,21.5,,5.230000019073486
2000-01-19,3790.889892578125,21.71999931335449,,5.349999904632568
2000-01-20,3841.739990234375,21.75,,5.300000190734863
2000-01-21,3849.9599609375,20.81999969482422,,5.300000190734863
2000-01-24,3660.9599609375,24.06999969482422,,5.329999923706055
2000-01-25,3759.110107421875,23.020000457763672,,5.400000095367432
2000-01-26,3621.2099609375,23.030000686645508,,5.409999847412109
2000-01-27,3593.14990234375,23.540000915527344,,5.409999847412109
2000-01-28,3446.1298828125,26.13999938964844,,5.46999979019165
2000-01-31,3570.050048828125,24.950000762939453,,5.53000020980835
2000-02-01,3701.780029296875,23.450000762939453,,5.550000190734863
2000-02-02,3724.4599609375,23.1200008392334,,5.5
2000-02-03,3851.159912109375,22.01000022888184,,5.429999828338623
2000-02-04,3874.3701171875,21.540000915527344,,5.489999771118164
2000-02-07,3933.340087890625,22.790000915527344,,5.46999979019165
2000-02-08,4062.77001953125,21.25,,5.519999980926514
2000-02-09,3968.4599609375,22.89999961853028,,5.489999771118164
2000-02-10,4090.0,23.06999969482422,,5.5
2000-02-11,3968.889892578125,24.420000076293945,,5.480000019073486
2000-02-14,3986.1298828125,24.3799991607666,,5.460000038146973
2000-02-15,3997.030029296875,22.920000076293945,,5.579999923706055
2000-02-16,3997.969970703125,23.51000022888184,,5.550000190734863
2000-02-17,4125.3798828125,23.170000076293945,,5.570000171661377
2000-02-18,3965.75,26.0,,5.570000171661377
2000-02-22,3969.1298828125,25.86000061035156,,5.599999904632568
2000-02-23,4170.08984375,23.88999938964844,,5.639999866485596
2000-02-24,4253.0498046875,24.3799991607666,,5.639999866485596
2000-02-25,4178.580078125,25.200000762939453,,5.619999885559082
2000-02-28,4162.1298828125,24.68000030517578,,5.659999847412109
2000-02-29,4266.93994140625,23.3700008392334,,5.639999866485596
2000-03-01,4309.009765625,21.63999938964844,,5.599999904632568
2000-03-02,4234.259765625,21.059999465942383,,5.590000152587891
2000-03-03,4442.8701171875,19.209999084472656,,5.630000114440918
2000-03-06,4457.18017578125,21.5,,5.650000095367432
2000-03-07,4390.830078125,24.309999465942383,,5.650000095367432
2000-03-08,4445.68017578125,23.81999969482422,,5.670000076293945
2000-03-09,4586.259765625,22.209999084472656,,5.659999847412109
2000-03-10,4587.16015625,21.239999771118164,,5.679999828338623
2000-03-13,4426.7998046875,22.850000381469727,,5.710000038146973
2000-03-14,4226.990234375,24.40999984741211,,5.710000038146973
2000-03-15,4130.009765625,22.34000015258789,,5.690000057220459
2000-03-16,4353.330078125,20.770000457763672,,5.699999809265137
2000-03-17,4440.4501953125,22.3700008392334,,5.699999809265137
2000-03-20,4261.14990234375,22.959999084472656,,5.730000019073486
2000-03-21,4449.330078125,21.700000762939453,,5.739999771118164
2000-03-22,4596.81005859375,21.489999771118164,,5.739999771118164
2000-03-23,4660.6201171875,22.26000022888184,,5.730000019073486
2000-03-24,4691.60986328125,23.309999465942383,,5.71999979019165
2000-03-27,4704.72998046875,24.530000686645508,,5.679999828338623
2000-03-28,4583.39013671875,24.86000061035156,,5.710000038146973
2000-03-29,4413.919921875,24.100000381469727,,5.71999979019165
2000-03-30,4250.18994140625,25.46999931335449,,5.710000038146973
2000-03-31,4397.83984375,24.11000061035156,,5.71999979019165
2000-04-03,4077.02001953125,24.030000686645508,,5.690000057220459
2000-04-04,4034.169921875,27.1200008392334,,5.670000076293945
2000-04-05,4030.260009765625,28.40999984741211,,5.699999809265137
2000-04-06,4086.72998046875,27.14999961853028,,5.710000038146973
